sku,nombre,categoria,precio,stock,stock_minimo
SKU00001,Monitor Curvo HyperX,Electronica,error,33,15
SKU00002,Multicontacto,Energia,384.76,56,25
SKU00003,NAS MSI,Almacenamiento,7438.16,62,30,---
SKU00004,Capturadora Video,Video,3141.50,0,10
SKU00005,Microfono Canon,Audio,1301.21,19,50
SKU00006,Monitor Gaming Sony,Electronica,20049.63,3,30
SKU00007,MicroSD,Almacenamiento,756.22,27,3,500
SKU00008,Pantalla Portatil LG,Electronica,7765.09,7,10
SKU00009,Laptop Seagate
SKU00010,Microfono Epson,Audio,2140.31,3,5
SKU00011,NAS HyperX,Almacenamiento,6068.28,12,25
SKU00012,Microfono USB Sony,Audio,1528.98,3,30,#REF!
SKU00013,Monitor Kingston,Electronica,8854.17,13,5
SKU00014,Notebook Apple,Electronica,16508.71,25,30
SKU00015,SSD HP,Almacenamiento,2074.99,NaN,10
SKU00016,Monitor Gaming TP-Link,Electronica,10300.17,42,15
SKU00017,Teclado Gaming Samsung,Accesorios,3005.65,1,5
SKU00018,Teclado Mecanico Dell,Accesorios,2807.66,12,30
SKU00019,Chromebook HyperX,Electronica,9468.39,19,25
SKU00020,Bocina Bluetooth Corsair,Audio,1805.99,51,50
SKU00021,Teclado Canon,Accesorios,443.00,58,20
SKU00022,Touchpad MSI,Accesorios,1073.53,3,15
SKU00023,Notebook Acer,Electronica,16884.40,6,5
SKU00024,Microfono Sony,Audio,909.37,43,15
SKU00025,USB Drive HyperX,Almacenamiento,287.57,6,10
SKU00026,Teclado Gaming HP,Accesorios,1741.37,2,5
SKU00027,Touchpad Seagate,Accesorios,1633.13,52,20
SKU00028,Audifonos Bluetooth MSI,Audio
SKU00029,Tarjeta Video Razer,Componentes,6017.67,24,30
SKU00030,Teclado,Accesorios,987.06,31,30
SKU00031,Monitor 4K Logitech,Electronica,15551.30,8,50
SKU00032,Mouse Gaming,Accesorios,1736.95,1,15
SKU00033,HDD Externo Lenovo,Almacenamiento,2140.74,54,30
SKU00034,Stylus Logitech,Accesorios,493.72,52,50
SKU00035,RAM Anker,Componentes,1655.49
SKU00036,MacBook HP,Electronica,33921.26,15,5
SKU00037,NAS Lenovo,Almacenamiento,11268.28,22,15
SKU00038,Microfono HyperX,Audio,1170.44,45,20
SKU00039,MicroSD Asus,Almacenamiento,928.49,NaN,15
SKU00040,Mouse Gaming MSI,Accesorios,537.97,7,20
SKU00041,Mouse HP,Accesorios,294.12,3,10
SKU00042,RAM MSI,Componentes,NaN,11,5
SKU00043,Audifonos Bluetooth,Audio,799.81,1,5
SKU00044,Microfono USB Logitech,Audio,1254.33,6,30
