sku,nombre,categoria,stock_actual,stock_minimo,unidades_faltantes,valor_inventario
SKU00187,HDD Externo Dell,Almacenamiento,3,500,497,8941.35
SKU00639,Bocina Razer,Audio,3,500,497,4097.31
SKU01529,Barra Sonido Seagate,Audio,3,500,497,18523.29
SKU02047,Audifonos Bluetooth Razer,Audio,3,500,497,4421.25
SKU03349,MacBook Corsair,Electronica,3,500,497,105550.83
SKU03974,Bocina Bluetooth Asus,Audio,3,500,497,11020.95
SKU05227,MicroSD Razer,Almacenamiento,3,500,497,2418.60
SKU06091,Laptop Anker,Electronica,3,500,497,60535.68
SKU06585,Audifonos Gaming LG,Audio,3,500,497,4266.03
SKU06716,RAM Logitech,Componentes,3,500,497,8074.35
SKU07579,Chromebook Kingston,Electronica,3,500,497,25070.16
SKU08031,MacBook TP-Link,Electronica,3,500,497,155371.05
SKU08131,Teclado Mecanico TP-Link,Accesorios,3,500,497,3239.28
SKU08320,RAM Canon,Componentes,3,500,497,6254.01
SKU08600,Procesador Samsung,Componentes,3,500,497,7671.09
SKU08958,Microfono WD,Audio,3,500,497,3916.86
SKU05575,Bocina WD,Audio,0,50,50,0.00
SKU09780,RAM Anker,Componentes,0,50,50,0.00
SKU00622,Tarjeta Video SanDisk,Componentes,1,50,49,12161.46
SKU02359,Pantalla Portatil Xiaomi,Electronica,1,50,49,6961.65
SKU02909,MicroSD Dell,Almacenamiento,1,50,49,720.69
SKU04000,Mouse Ergonomico Kingston,Accesorios,1,50,49,825.48
SKU04585,Docking Station,Cables,1,50,49,4956.95
SKU05569,Tarjeta Video Lenovo,Componentes,1,50,49,24398.01
SKU06623,MacBook Sony,Electronica,1,50,49,40606.77
SKU09243,HDD Externo Lenovo,Almacenamiento,1,50,49,3858.34
SKU00440,MicroSD Razer,Almacenamiento,2,50,48,350.26
SKU00754,Barra Sonido MSI,Audio,2,50,48,4739.46
SKU01504,RAM HP,Componentes,2,50,48,3067.26
SKU02846,Ultrabook Apple,Electronica,2,50,48,54015.96
SKU03196,Mouse Gaming Seagate,Accesorios,2,50,48,1530.24
SKU03739,Audifonos Bluetooth Epson,Audio,2,50,48,1878.66
SKU03967,Bocina Canon,Audio,2,50,48,2690.16
SKU04540,Bocina Xiaomi,Audio,2,50,48,4100.04
SKU05176,MacBook Acer,Electronica,2,50,48,35178.22
SKU05344,RAM HyperX,Componentes,2,50,48,3708.06
SKU06233,SSD Corsair,Almacenamiento,2,50,48,6035.50
SKU07680,Bocina SanDisk,Audio,2,50,48,2725.34
SKU07827,Ultrabook TP-Link,Electronica,2,50,48,42197.16
SKU09505,USB Drive Razer,Almacenamiento,2,50,48,532.12
SKU01632,NAS Apple,Almacenamiento,3,50,47,33588.54
SKU02706,Chromebook MSI,Electronica,3,50,47,42413.76
SKU03151,Monitor Curvo Lenovo,Electronica,3,50,47,31299.51
SKU04178,Pantalla Portatil Canon,Electronica,3,50,47,12665.91
SKU05471,Router Mesh,Redes,3,50,47,11615.79
SKU05476,Bocina Bluetooth Dell,Audio,3,50,47,15006.24
SKU06632,SSD TP-Link,Almacenamiento,3,50,47,2334.69
SKU07728,Teclado Anker,Accesorios,3,50,47,3080.10
SKU08305,Fuente Poder Apple,Componentes,3,50,47,9906.81
SKU08327,SSD Canon,Almacenamiento,3,50,47,3833.91
SKU08435,Mouse Razer,Accesorios,3,50,47,1090.20
SKU08535,Touchpad LG,Accesorios,3,50,47,1584.69
SKU08639,HDD Externo Gigabyte,Almacenamiento,3,50,47,7874.28
SKU08648,Procesador Xiaomi,Componentes,3,50,47,35051.28
SKU08842,Audifonos Gaming HyperX,Audio,3,50,47,6460.08
SKU09692,Pantalla Portatil Corsair,Electronica,3,50,47,11450.79
SKU00549,HDD Externo,Almacenamiento,4,50,46,10687.36
SKU02441,Notebook Kingston,Electronica,4,50,46,57220.56
SKU02702,Microfono USB LG,Audio,4,50,46,2435.48
SKU04109,SSD Logitech,Almacenamiento,4,50,46,11977.12
SKU04974,Repetidor WiFi,Redes,4,50,46,7203.76
SKU06679,Laptop Kingston,Electronica,4,50,46,82310.96
SKU07576,Pantalla Portatil Kingston,Electronica,4,50,46,27238.96
SKU08887,Monitor Corsair,Electronica,4,50,46,33847.88
SKU09122,Audifonos Bluetooth Seagate,Audio,4,50,46,5700.44
SKU09633,Procesador Razer,Componentes,4,50,46,44154.04
SKU00758,Audifonos Gaming SanDisk,Audio,5,50,45,4771.75
SKU01589,MacBook,Electronica,5,50,45,204852.40
SKU01642,SSD Gigabyte,Almacenamiento,5,50,45,4098.35
SKU02120,Teclado Gaming Asus,Accesorios,5,50,45,18186.55
SKU02305,NAS SanDisk,Almacenamiento,5,50,45,75396.70
SKU03076,HDD Corsair,Almacenamiento,5,50,45,8864.60
SKU04696,Teclado,Accesorios,5,50,45,6839.80
SKU04963,Mouse Ergonomico,Accesorios,5,50,45,2195.00
SKU05370,Stylus Anker,Accesorios,5,50,45,8363.45
SKU05502,Camara Seguridad,Video,5,50,45,6323.20
SKU05632,Audifonos Gaming SanDisk,Audio,5,50,45,8682.65
SKU05773,Fuente Poder BenQ,Componentes,5,50,45,4349.15
SKU06191,Monitor Gaming Xiaomi,Electronica,5,50,45,43631.45
SKU06265,HDD Gigabyte,Almacenamiento,5,50,45,15298.75
SKU06420,HDD Externo TP-Link,Almacenamiento,5,50,45,10329.80
SKU08936,Teclado Mecanico Epson,Accesorios,5,50,45,6774.55
SKU09637,MicroSD Seagate,Almacenamiento,5,50,45,3521.80
SKU00565,Monitor Curvo Sony,Electronica,6,50,44,81517.50
SKU01833,Microfono USB MSI,Audio,6,50,44,11164.80
SKU02636,Teclado Mecanico Gigabyte,Accesorios,6,50,44,13733.82
SKU05985,Ultrabook TP-Link,Electronica,6,50,44,147737.46
SKU08060,Teclado Gaming Sony,Accesorios,6,50,44,18375.24
SKU08129,HDD HyperX,Almacenamiento,6,50,44,5868.96
SKU08559,Mouse Ergonomico Logitech,Accesorios,6,50,44,7641.84
SKU09040,NAS Gigabyte,Almacenamiento,6,50,44,45591.30
SKU09913,NAS Dell,Almacenamiento,6,50,44,52698.30
SKU01028,Audifonos Gaming Kingston,Audio,7,50,43,14242.13
SKU01377,HDD HP,Almacenamiento,7,50,43,9427.18
SKU02293,Mouse Gaming Lenovo,Accesorios,7,50,43,7200.97
SKU04326,Microfono Acer,Audio,7,50,43,6393.87
SKU04490,Mouse Anker,Accesorios,7,50,43,3032.89
SKU05238,Monitor 4K BenQ,Electronica,7,50,43,110342.96
SKU06717,Barra Sonido TP-Link,Audio,7,50,43,53189.57
SKU07148,Microfono USB LG,Audio,7,50,43,7523.74
SKU08822,Chromebook WD,Electronica,7,50,43,39374.16
SKU00031,Monitor 4K Logitech,Electronica,8,50,42,124410.40
SKU00908,Notebook BenQ,Electronica,8,50,42,110831.92
SKU02273,USB Drive Seagate,Almacenamiento,8,50,42,1714.56
SKU03275,SSD Externo LG,Almacenamiento,8,50,42,35217.92
SKU03392,Mouse Ergonomico Epson,Accesorios,8,50,42,11748.40
SKU03572,RAM Corsair,Componentes,8,50,42,14436.08
SKU04561,Ultrabook,Electronica,8,50,42,182660.88
